Site,Disturbance,Exclosure,Date,hits_Total,hits_C4,hits_C3,hits_Brome,hits_VUOC,hits_AnnForb,hits_PerForb,hits_Forb,hits_Subshrub,hits_SD,hits_Herb,weight_Total,weight_C4,weight_C3,weight_Brome,weight_Forb,weight_AnnForb,weight_PerForb,weight_VUOC,weight_Subshrub,weight_SD,weight_Herb,Year
steckley,prairie dog,ungulate ex,2017-07-17,19,0,19,0,0,0,0,0,0,0,19,251.17333333333332,0.0,68.54666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.17333333333332,2017
steckley,prairie dog,ungulate ex,2018-07-31,34,0,17,0,0,17,0,17,0,0,34,356.22,0.0,99.93333333333334,0.0,4.366666666666666,0.0,0.0,0.0,0.0,3.7066666666666666,352.5133333333334,2018
steckley,prairie dog,ungulate ex,2019-07-29,69,0,52,0,0,8,0,8,0,9,69,522.7333333333333,0.19999999999999998,142.06666666666666,0.0,0.0,18.533333333333335,0.0,0.0,0.0,1.0666666666666667,521.6666666666666,2019
steckley,prairie dog,ungulate ex,2020-08-10,21,0,12,0,0,2,0,2,0,7,21,82.0,0.0,59.72,0.0,0.0,6.7,0.0,0.0,0.0,15.58,66.42,2020
west fork,control,livestock ex,2017-07-19,20,0,17,1,0,0,2,2,0,0,20,182.85333333333332,3.0400000000000005,29.326666666666664,0.853333333333334,3.293333333333333,0.0,0.0,0.0,17.793333333333333,0.0,182.85333333333332,2017
west fork,control,livestock ex,2018-08-01,23,4,2,12,0,1,3,4,0,0,22,268.32,2.2733333333333334,34.64666666666667,17.14,8.093333333333334,0.0,0.0,0.0,0.013333333333333334,19.973333333333333,248.34666666666666,2018
west fork,control,livestock ex,2019-08-07,29,0,4,18,0,2,0,2,3,2,29,289.6666666666667,0.0,26.03333333333333,2.6333333333333333,0.0,10.700000000000001,0.6666666666666666,0.0,0.06666666666666667,7.6000000000000005,282.06666666666666,2019
west fork,control,livestock ex,2020-08-05,17,0,0,8,0,0,1,1,1,7,17,157.36,0.0,3.96,52.1,0.0,0.6,4.7,0.0,28.3,67.7,89.66000000000001,2020
west fork,control,out,2017-07-19,26,0,16,0,0,0,0,0,10,0,26,149.74666666666667,0.20000000000000007,10.353333333333333,0.15999999999999975,0.10000000000000003,0.0,0.0,0.04000000000000013,9.795555555555556,0.0,149.74666666666667,2017
west fork,control,out,2018-08-01,16,0,13,3,0,0,0,0,0,0,16,168.57333333333332,7.96,31.786666666666665,2.9600000000000004,1.7466666666666668,0.0,0.0,0.06666666666666667,3.033333333333333,14.933333333333332,153.64,2018
