Site,Disturbance,Exclosure,Date,FG,Year,Total Hits,hits,weight
lake creek,prairie dog,out,2017-07-25,Total,2017,18,18,125.78
lake creek,prairie dog,out,2017-07-25,VUOC,2017,18,0,0.0
lake creek,prairie dog,out,2018-07-30,AnnGrass,2018,21,2,2.42
lake creek,prairie dog,out,2018-07-30,Brome,2018,21,0,0.0
lake creek,prairie dog,out,2018-07-30,C3,2018,21,2,22.12
lake creek,prairie dog,out,2018-07-30,C4,2018,21,8,26.58
lake creek,prairie dog,out,2018-07-30,Forb,2018,21,9,127.58
lake creek,prairie dog,out,2018-07-30,SD,2018,21,0,0.1
lake creek,prairie dog,out,2018-07-30,Subshrub,2018,21,0,0.0
lake creek,prairie dog,out,2018-07-30,Total,2018,21,21,178.79999999999998
lake creek,prairie dog,out,2018-07-30,VUOC,2018,21,2,2.42
lake creek,prairie dog,out,2019-07-31,AnnGrass,2019,26,1,0.8200000000000001
lake creek,prairie dog,out,2019-07-31,Brome,2019,26,1,0.02
lake creek,prairie dog,out,2019-07-31,C3,2019,26,3,29.8
lake creek,prairie dog,out,2019-07-31,C4,2019,26,9,31.1
lake creek,prairie dog,out,2019-07-31,Forb,2019,26,7,99.89999999999999
lake creek,prairie dog,out,2019-07-31,SD,2019,26,0,0.9
lake creek,prairie dog,out,2019-07-31,Subshrub,2019,26,0,3.2
lake creek,prairie dog,out,2019-07-31,Total,2019,26,20,165.72
lake creek,prairie dog,out,2019-07-31,VUOC,2019,26,0,0.8
lake creek,prairie dog,out,2020-08-03,AnnGrass,2020,21,7,6.666
lake creek,prairie dog,out,2020-08-03,Brome,2020,21,7,6.66
lake creek,prairie dog,out,2020-08-03,C3,2020,21,0,6.64
lake creek,prairie dog,out,2020-08-03,C4,2020,21,8,18.46
lake creek,prairie dog,out,2020-08-03,Forb,2020,21,0,0.5
lake creek,prairie dog,out,2020-08-03,SD,2020,21,6,15.62
lake creek,prairie dog,out,2020-08-03,Subshrub,2020,21,0,0.0
lake creek,prairie dog,out,2020-08-03,Total,2020,21,21,47.886
lake creek,prairie dog,out,2020-08-03,VUOC,2020,21,0,0.006
lake creek,prairie dog,ungulate ex,2017-07-25,AnnGrass,2017,11,0,19.58
lake creek,prairie dog,ungulate ex,2017-07-25,Brome,2017,11,0,0.0
lake creek,prairie dog,ungulate ex,2017-07-25,C3,2017,11,0,19.42
