,model,numb_vars,formula,R2,R2_adj,AIC,rmse_kg_mean,rmse_kg_sd,mpe,rmse_pct_mean,rmse_pct_sd,rmse_pct_max,mae_kg_mean|,mae_kg_sd,mae_orig_mean,mae_orig_sd,rmse_orig_mean,rmse_orig_sd,rmse_orig_pct_mean,rmse_orig_pct_sd,rmse_kg_low_mean,rmse_pct_low_mean,mpe_low,mae_kg_mean,mae_kg_max,mae_pct_mean,mae_pct_sd,mae_pct_max
0,projyear,2,"np.power(bm, 0.5) ~ ndii7 + bai_236 + ndii7:bai_236",0.4387,0.4364,5337.3763,658.7926,50.6563,0.2635,0.5361,0.0412,0.5825,,25.6469,,,,,,,448.1562,0.9732,0.8922,475.6361,511.133,0.3871,0.0209,0.416
0,projyear,2,"np.power(bm, 0.5) ~ nir + swir1 + nir:swir1",0.5074,0.5054,5239.9309,616.7785,57.7043,0.2288,0.5019,0.047,0.56,,28.8204,,,,,,,439.9182,0.9533,0.7771,447.6451,480.6471,0.3643,0.0235,0.3912
0,projyear,2,"np.power(bm, 0.5) ~ nir + swir2 + nir:swir2",0.4833,0.4812,5275.5386,630.2693,62.7212,0.2422,0.5129,0.051,0.5819,,34.1309,,,,,,,440.3615,0.9552,0.8251,455.6551,499.6757,0.3708,0.0278,0.4066
0,projyear,2,"np.power(bm, 0.5) ~ nir + bai_126 + nir:bai_126",0.1308,0.1273,5663.6023,807.3047,83.409,0.4179,0.657,0.0679,0.7543,,39.8399,,,,,,,598.9187,1.3005,1.4886,593.409,652.7662,0.4829,0.0324,0.5312
0,projyear,2,"np.power(bm, 0.5) ~ nir + bai_136 + nir:bai_136",0.3278,0.3251,5471.8171,709.5478,54.3708,0.322,0.5774,0.0442,0.6223,,25.5118,,,,,,,515.7543,1.1183,1.1442,517.1838,560.6028,0.4209,0.0208,0.4562
0,projyear,2,"np.power(bm, 0.5) ~ nir + bai_236 + nir:bai_236",0.3716,0.3691,5421.5585,695.2551,54.6017,0.2959,0.5658,0.0444,0.6182,,25.4445,,,,,,,485.1353,1.0512,1.0277,505.6795,542.4122,0.4115,0.0207,0.4414
0,projyear,2,"np.power(bm, 0.5) ~ nir + bai_246 + nir:bai_246",0.4688,0.4667,5296.2143,635.2172,51.1778,0.2493,0.517,0.0416,0.57,,23.898,,,,,,,449.139,0.9757,0.8402,462.6569,501.5226,0.3765,0.0194,0.4081
0,projyear,2,"np.power(bm, 0.5) ~ swir1 + bai_126 + swir1:bai_126",0.4854,0.4833,5272.5639,627.8122,62.5255,0.2398,0.5109,0.0509,0.5757,,30.8032,,,,,,,454.8278,0.9852,0.8152,454.3846,493.5818,0.3698,0.0251,0.4017
0,projyear,2,"np.power(bm, 0.5) ~ swir1 + bai_246 + swir1:bai_246",0.504,0.502,5245.0535,616.8027,52.5242,0.23,0.502,0.0427,0.5561,,25.6354,,,,,,,437.5217,0.9492,0.7755,449.0584,484.4211,0.3655,0.0209,0.3942
0,projyear,2,"np.power(bm, 0.5) ~ swir2 + bai_126 + swir2:bai_126",0.464,0.4619,5302.8866,636.985,63.5466,0.2527,0.5184,0.0517,0.5887,,32.8888,,,,,,,456.531,0.9902,0.8608,461.8495,507.6561,0.3759,0.0268,0.4131
