index,model,numb_vars,formula,project,R2,R2_adj,AIC,rmse_kg_mean,rmse_kg_sd,mpe,rmse_pct_mean,rmse_pct_sd,rmse_pct_max,mae_kg_mean|,mae_kg_sd,mae_orig_mean,mae_orig_sd,rmse_orig_mean,rmse_orig_sd,rmse_orig_pct_mean,rmse_orig_pct_sd,rmse_kg_low_mean,rmse_pct_low_mean,mpe_low,mae_kg_mean,mae_kg_max,mae_pct_mean,mae_pct_sd,mae_pct_max
468,Project,4,np.log(bm) ~ dfi + satvi + bai_126 + bai_246 + dfi:satvi + dfi:bai_126 + dfi:bai_246 + satvi:bai_126 + satvi:bai_246 + bai_126:bai_246,FIRE,0.241,0.1449,90.8005,120.6341,24.6056,0.1,0.3911,0.0798,0.4689,,17.4896,0.3143,0.0602,0.408,0.0709,0.0722,0.0125,120.6341,0.3918,0.1,90.7606,116.5218,0.2943,0.0567,0.3778
469,Project,4,np.log(bm) ~ dfi + satvi + bai_236 + bai_246 + dfi:satvi + dfi:bai_236 + dfi:bai_246 + satvi:bai_236 + satvi:bai_246 + bai_236:bai_246,FIRE,0.3121,0.2251,81.9416,116.1655,21.016,0.0809,0.3766,0.0681,0.4375,,13.8463,0.3003,0.0488,0.3882,0.0637,0.0687,0.0113,116.1655,0.3771,0.0809,88.0851,98.7349,0.2856,0.0449,0.3201
470,Project,4,np.log(bm) ~ dfi + ndii7 + nir + swir1 + dfi:ndii7 + dfi:nir + dfi:swir1 + ndii7:nir + ndii7:swir1 + nir:swir1,FIRE,0.2598,0.1661,88.5454,119.3503,21.8548,0.0983,0.387,0.0709,0.4654,,15.2971,0.3165,0.0522,0.4054,0.0763,0.0717,0.0135,119.3503,0.3874,0.0983,91.2991,116.7274,0.296,0.0496,0.3785
471,Project,4,np.log(bm) ~ dfi + ndii7 + nir + swir2 + dfi:ndii7 + dfi:nir + dfi:swir2 + ndii7:nir + ndii7:swir2 + nir:swir2,FIRE,0.3085,0.221,82.4093,110.9065,33.6998,0.0918,0.3596,0.1093,0.5303,,23.4242,0.3025,0.0705,0.3822,0.094,0.0676,0.0166,110.9065,0.3579,0.0918,87.839,126.9663,0.2848,0.0759,0.4117
472,Project,4,np.log(bm) ~ dfi + ndii7 + nir + bai_126 + dfi:ndii7 + dfi:nir + dfi:bai_126 + ndii7:nir + ndii7:bai_126 + nir:bai_126,FIRE,0.2979,0.2091,83.7797,114.507,20.3368,0.0768,0.3713,0.0659,0.4384,,13.0789,0.3118,0.0529,0.3878,0.0754,0.0686,0.0133,114.507,0.3715,0.0768,89.9546,107.0003,0.2917,0.0424,0.3469
473,Project,4,np.log(bm) ~ dfi + ndii7 + nir + bai_136 + dfi:ndii7 + dfi:nir + dfi:bai_136 + ndii7:nir + ndii7:bai_136 + nir:bai_136,FIRE,0.2808,0.1897,85.9542,119.3175,22.5658,0.1018,0.3869,0.0732,0.4739,,13.0534,0.3119,0.0435,0.397,0.0718,0.0703,0.0127,119.3175,0.387,0.1018,91.3549,111.9669,0.2962,0.0423,0.363
474,Project,4,np.log(bm) ~ dfi + ndii7 + nir + bai_236 + dfi:ndii7 + dfi:nir + dfi:bai_236 + ndii7:nir + ndii7:bai_236 + nir:bai_236,FIRE,0.26,0.1663,88.5164,133.4871,37.375,0.1337,0.4328,0.1212,0.5939,,19.1894,0.3162,0.0583,0.4242,0.1003,0.0751,0.0177,133.4871,0.4339,0.1337,94.3986,123.4224,0.3061,0.0622,0.4002
475,Project,4,np.log(bm) ~ dfi + ndii7 + swir1 + bai_126 + dfi:ndii7 + dfi:swir1 + dfi:bai_126 + ndii7:swir1 + ndii7:bai_126 + swir1:bai_126,FIRE,0.2681,0.1755,87.5231,115.4063,18.0522,0.0799,0.3742,0.0585,0.4375,,13.7753,0.3176,0.0533,0.3938,0.0714,0.0697,0.0126,115.4063,0.3738,0.0799,91.6731,112.794,0.2972,0.0447,0.3657
476,Project,4,np.log(bm) ~ dfi + ndii7 + swir1 + bai_136 + dfi:ndii7 + dfi:swir1 + dfi:bai_136 + ndii7:swir1 + ndii7:bai_136 + swir1:bai_136,FIRE,0.264,0.1708,88.0334,149.6759,78.4651,0.169,0.4853,0.2544,0.9795,,36.1725,0.3417,0.0806,0.4513,0.1378,0.0799,0.0244,149.6759,0.4822,0.169,104.4967,173.9883,0.3388,0.1173,0.5641
477,Project,4,np.log(bm) ~ dfi + ndii7 + swir1 + bai_236 + dfi:ndii7 + dfi:swir1 + dfi:bai_236 + ndii7:swir1 + ndii7:bai_236 + swir1:bai_236,FIRE,0.2453,0.1497,90.2893,189.7563,136.7387,0.2539,0.6152,0.4433,1.4765,,65.2002,0.3512,0.113,0.4825,0.1851,0.0854,0.0328,189.7563,0.6109,0.2539,119.1284,245.9864,0.3862,0.2114,0.7976
478,Project,4,np.log(bm) ~ dfi + ndii7 + swir2 + bai_126 + dfi:ndii7 + dfi:swir2 + dfi:bai_126 + ndii7:swir2 + ndii7:bai_126 + swir2:bai_126,FIRE,0.2839,0.1933,85.5555,112.8792,17.884,0.0728,0.366,0.058,0.4344,,13.4073,0.3114,0.0512,0.3843,0.0673,0.068,0.0119,112.8792,0.366,0.0728,89.5208,112.3964,0.2903,0.0435,0.3644
