,model,kfold,numb_vars,formula,R2,R2_adj,AIC,rmse_kg,pe,rmse_pct,rmse_orig,rmse_orig_pct,rmse_kg_low,rmse_pct_low,pe_low,mae_kg,mae_pct,mae_orig
2,projyear,3,2,bm ~ dfi + bai_246 + dfi:bai_246,0.1496,,44867.7968,704.969,41.6755,0.8328,,,565.8858,1.7581,76.8464,539.6802,0.6376,
3,projyear,4,2,bm ~ dfi + bai_246 + dfi:bai_246,0.1496,,44867.7968,687.2063,52.7771,0.8118,,,542.2876,1.9004,101.974,527.8005,0.6235,
4,projyear,5,2,bm ~ dfi + bai_246 + dfi:bai_246,0.1496,,44867.7968,718.4609,48.1068,0.8488,,,563.7713,1.8628,87.2728,542.9508,0.6414,
0,projyear,1,2,bm ~ ndvi + satvi + ndvi:satvi,0.4802,,43875.6194,549.1494,25.0445,0.6487,,,413.2478,1.3899,48.9662,403.8818,0.4771,
1,projyear,2,2,bm ~ ndvi + satvi + ndvi:satvi,0.4802,,43875.6194,672.5516,13.3218,0.7945,,,408.0231,1.3455,25.8218,456.4805,0.5393,
2,projyear,3,2,bm ~ ndvi + satvi + ndvi:satvi,0.4802,,43875.6194,578.9427,21.4189,0.6839,,,433.0381,1.3454,39.4821,420.7848,0.4971,
3,projyear,4,2,bm ~ ndvi + satvi + ndvi:satvi,0.4802,,43875.6194,585.2496,24.5051,0.6914,,,408.6377,1.432,47.3487,425.9703,0.5032,
4,projyear,5,2,bm ~ ndvi + satvi + ndvi:satvi,0.4802,,43875.6194,609.6804,20.8134,0.7203,,,443.3954,1.4651,37.7694,423.6977,0.5005,
0,projyear,1,2,bm ~ ndvi + nir + ndvi:nir,0.5278,,43717.0434,517.9066,25.9625,0.6118,,,390.5618,1.3136,50.7463,378.4052,0.447,
1,projyear,2,2,bm ~ ndvi + nir + ndvi:nir,0.5278,,43717.0434,667.9107,15.4832,0.789,,,406.1452,1.3393,29.9794,449.8712,0.5315,
2,projyear,3,2,bm ~ ndvi + nir + ndvi:nir,0.5278,,43717.0434,548.2795,22.1083,0.6477,,,379.8466,1.1801,40.7532,384.7965,0.4546,
3,projyear,4,2,bm ~ ndvi + nir + ndvi:nir,0.5278,,43717.0434,578.5622,28.049,0.6835,,,384.2911,1.3467,54.1599,415.8703,0.4913,
4,projyear,5,2,bm ~ ndvi + nir + ndvi:nir,0.5278,,43717.0434,595.4512,21.8019,0.7034,,,394.6768,1.3041,39.5371,403.3493,0.4765,
0,projyear,1,2,bm ~ ndvi + bai_126 + ndvi:bai_126,0.4693,,43911.0807,540.3063,34.5721,0.6383,,,407.3546,1.3701,67.5807,400.1428,0.4727,
1,projyear,2,2,bm ~ ndvi + bai_126 + ndvi:bai_126,0.4693,,43911.0807,680.0131,23.0358,0.8033,,,411.6778,1.3576,44.5745,467.7173,0.5525,
