ID,Date,Project,gps_E,gps_N,Method,bm_gm2
E37.3,2016-08-08,BIRD,489537.0,4813848.0,vor,18.986229082662913
E37.3,2017-08-07,BIRD,489537.0,4813848.0,vor,60.174213667656225
E37.3,2018-07-01,BIRD,489537.0,4813848.0,vor,107.93434056355905
E37.3,2019-07-30,BIRD,489537.0,4813848.0,vor,192.82373531139376
E37.4,2015-07-23,BIRD,489537.0,4814098.0,vor,32.35561617889726
E37.4,2016-08-08,BIRD,489537.0,4814098.0,vor,11.76554318395435
E37.4,2017-08-07,BIRD,489537.0,4814098.0,vor,77.35976532964828
E37.4,2018-07-01,BIRD,489537.0,4814098.0,vor,82.08760787207619
E37.4,2019-07-30,BIRD,489537.0,4814098.0,vor,121.52269235411912
E37.5,2015-07-23,BIRD,489537.0,4814348.0,vor,165.10908401267693
E37.5,2016-08-08,BIRD,489537.0,4814348.0,vor,110.95207033834356
E37.5,2017-08-07,BIRD,489537.0,4814348.0,vor,150.49307722734144
E37.5,2018-07-01,BIRD,489537.0,4814348.0,vor,133.98835326868965
E37.5,2019-07-30,BIRD,489537.0,4814348.0,vor,218.07364079272284
E37.6,2015-07-23,BIRD,489537.0,4814598.0,vor,195.78053385763005
E37.6,2016-08-08,BIRD,489537.0,4814598.0,vor,84.78950925212793
E37.6,2017-08-07,BIRD,489537.0,4814598.0,vor,214.6523555341329
E37.6,2018-07-01,BIRD,489537.0,4814598.0,vor,104.96580085640305
E37.6,2019-07-30,BIRD,489537.0,4814598.0,vor,192.66606637903033
E37.7,2015-07-23,BIRD,489537.0,4814848.0,vor,108.79600164843089
E37.7,2016-08-08,BIRD,489537.0,4814848.0,vor,77.01685304611026
E37.7,2017-08-07,BIRD,489537.0,4814848.0,vor,69.77815699018038
E37.7,2018-07-01,BIRD,489537.0,4814848.0,vor,121.67847057023874
E37.7,2019-07-30,BIRD,489537.0,4814848.0,vor,121.63169686944626
E37.8,2015-07-23,BIRD,489537.0,4815098.0,vor,45.727431436450814
E37.8,2016-08-08,BIRD,489537.0,4815098.0,vor,53.731264792419
E37.8,2017-08-07,BIRD,489537.0,4815098.0,vor,46.87717795273173
E37.8,2018-07-01,BIRD,489537.0,4815098.0,vor,62.37849138081432
E37.8,2019-07-30,BIRD,489537.0,4815098.0,vor,63.8340059610782
E39.1,2015-06-30,BIRD,494714.0,4811320.0,vor,36.184401310699535
E39.1,2016-07-20,BIRD,494714.0,4811320.0,vor,10.561479618051056
E39.1,2017-07-05,BIRD,494714.0,4811320.0,vor,30.155967344848403
E39.1,2017-08-03,PDOG,494732.72,4811327.07,clip,43.93
E39.1,2018-07-01,BIRD,494714.0,4811320.0,vor,58.09398985153669
E39.1,2019-07-18,PDOG,494749.1,4811325.9,clip,98.53399999999998
E39.1,2021-07-14,PDOG,494732.0,4811309.0,clip,28.127
E39.1,2022-07-13,PDOG,494722.7,4811317.5,clip,96.279
E39.1,2023-04-26,PDOG,494717.0,4811312.0,vor,18.56251545130643
E39.1,2023-07-26,PDOG,494726.31,4811317.67,vor,196.03027082107064
E39.1,2024-07-22,PDOG,494726.13,4811311.55,vor,97.63042743114326
E39.2,2015-06-30,BIRD,494876.0,4811129.0,vor,26.369495336296133
E39.2,2016-07-20,BIRD,494876.0,4811129.0,vor,20.79343284762116
E39.2,2017-07-05,BIRD,494876.0,4811129.0,vor,39.14304194875728
E39.2,2018-07-01,BIRD,494876.0,4811129.0,vor,63.0720697038827
E39.2,2019-06-16,BIRD,494876.0,4811129.0,vor,43.41267092259422
E39.3,2015-06-30,BIRD,495038.0,4810939.0,vor,113.68366608089168
E39.3,2016-07-20,BIRD,495038.0,4810939.0,vor,14.539895763730074
E39.3,2017-07-05,BIRD,495038.0,4810939.0,vor,45.13316560966375
E39.3,2018-07-01,BIRD,495038.0,4810939.0,vor,53.32707790874285
