ID,Date,Project,gps_E,gps_N,Method,bm_gm2,geometry,index_right,AREASYMBOL,SPATIALVER,MUSYM,MUKEY,OBJECTID,mukey_1,comppct_r,CONFIDENCE,AVG_SAND,AVG_SILT,AVG_CLAY,texcl
C1.5,2019-06-13,BIRD,487620.0,4812552.0,vor,131.07330630540574,POINT (487620 4812552),71618,WY709,9,141,351519,85904,351519,100.0,R,38.1436527057,36.7045681987,25.1517790956,loam
C1.6,2015-07-23,BIRD,487796.0,4812375.0,vor,20.110342387838624,POINT (487796 4812375),70600,WY709,9,101,351479,85865,351479,100.0,R,31.3131578947,27.3053947368,41.3814473684,clay
C1.6,2016-06-29,BIRD,487796.0,4812375.0,vor,0.9468394202813376,POINT (487796 4812375),70600,WY709,9,101,351479,85865,351479,100.0,R,31.3131578947,27.3053947368,41.3814473684,clay
C1.6,2017-07-06,BIRD,487796.0,4812375.0,vor,34.867895554672266,POINT (487796 4812375),70600,WY709,9,101,351479,85865,351479,100.0,R,31.3131578947,27.3053947368,41.3814473684,clay
C1.6,2017-08-08,PDOG,487791.38,4812356.02,clip,80.14864,POINT (487791.38 4812356.02),70600,WY709,9,101,351479,85865,351479,100.0,R,31.3131578947,27.3053947368,41.3814473684,clay
C1.6,2018-06-18,BIRD,487796.0,4812375.0,vor,120.6828502361127,POINT (487796 4812375),70600,WY709,9,101,351479,85865,351479,100.0,R,31.3131578947,27.3053947368,41.3814473684,clay
C1.6,2019-06-13,BIRD,487796.0,4812375.0,vor,145.38184665135057,POINT (487796 4812375),70600,WY709,9,101,351479,85865,351479,100.0,R,31.3131578947,27.3053947368,41.3814473684,clay
C1.7,2015-07-23,BIRD,487973.0,4812198.0,vor,79.8869155681311,POINT (487973 4812198),70600,WY709,9,101,351479,85865,351479,100.0,R,31.3131578947,27.3053947368,41.3814473684,clay
C1.7,2016-06-29,BIRD,487973.0,4812198.0,vor,18.75647963827079,POINT (487973 4812198),70600,WY709,9,101,351479,85865,351479,100.0,R,31.3131578947,27.3053947368,41.3814473684,clay
C1.7,2017-07-06,BIRD,487973.0,4812198.0,vor,28.59638900411093,POINT (487973 4812198),70600,WY709,9,101,351479,85865,351479,100.0,R,31.3131578947,27.3053947368,41.3814473684,clay
C1.7,2018-06-18,BIRD,487973.0,4812198.0,vor,195.7208029094136,POINT (487973 4812198),70600,WY709,9,101,351479,85865,351479,100.0,R,31.3131578947,27.3053947368,41.3814473684,clay
C1.7,2019-06-13,BIRD,487973.0,4812198.0,vor,211.05970403136712,POINT (487973 4812198),70600,WY709,9,101,351479,85865,351479,100.0,R,31.3131578947,27.3053947368,41.3814473684,clay
C1.8,2015-07-23,BIRD,488150.0,4812021.0,vor,90.27383601130086,POINT (488150 4812021),70923,WY709,9,108,351486,85872,351486,100.0,R,71.7333552632,16.8610526316,11.4055921053,sandy loam
C1.8,2016-06-29,BIRD,488150.0,4812021.0,vor,378.162308206099,POINT (488150 4812021),70923,WY709,9,108,351486,85872,351486,100.0,R,71.7333552632,16.8610526316,11.4055921053,sandy loam
C1.8,2017-07-06,BIRD,488150.0,4812021.0,vor,487.30195793817376,POINT (488150 4812021),70923,WY709,9,108,351486,85872,351486,100.0,R,71.7333552632,16.8610526316,11.4055921053,sandy loam
C10.1,2015-07-12,BIRD,499854.0,4819233.0,vor,40.2468966203976,POINT (499854 4819233),47779,WY045,10,5,349454,75943,349454,100.0,R,33.8791118421,30.7405427632,35.3803453947,clay loam
C10.1,2016-06-30,BIRD,499854.0,4819233.0,vor,1.9541339151482424,POINT (499854 4819233),47779,WY045,10,5,349454,75943,349454,100.0,R,33.8791118421,30.7405427632,35.3803453947,clay loam
C10.1,2017-06-30,BIRD,499854.0,4819233.0,vor,19.0920740490629,POINT (499854 4819233),47779,WY045,10,5,349454,75943,349454,100.0,R,33.8791118421,30.7405427632,35.3803453947,clay loam
C10.1,2017-08-16,PDOG,499864.725,4819259.32,clip,36.43864000000001,POINT (499864.725 4819259.32),47779,WY045,10,5,349454,75943,349454,100.0,R,33.8791118421,30.7405427632,35.3803453947,clay loam
C10.1,2018-07-01,BIRD,499854.0,4819233.0,vor,95.45550746106956,POINT (499854 4819233),47779,WY045,10,5,349454,75943,349454,100.0,R,33.8791118421,30.7405427632,35.3803453947,clay loam
C10.1,2018-07-17,PDOG,499864.725,4819259.32,clip,143.29,POINT (499864.725 4819259.32),47779,WY045,10,5,349454,75943,349454,100.0,R,33.8791118421,30.7405427632,35.3803453947,clay loam
C10.1,2019-06-17,BIRD,499854.0,4819233.0,vor,171.5481099760743,POINT (499854 4819233),47779,WY045,10,5,349454,75943,349454,100.0,R,33.8791118421,30.7405427632,35.3803453947,clay loam
C10.1,2019-07-18,PDOG,499864.725,4819259.32,clip,170.81099999999998,POINT (499864.725 4819259.32),47779,WY045,10,5,349454,75943,349454,100.0,R,33.8791118421,30.7405427632,35.3803453947,clay loam
C10.1,2021-07-21,PDOG,499864.725,4819259.32,clip,60.916,POINT (499864.725 4819259.32),47779,WY045,10,5,349454,75943,349454,100.0,R,33.8791118421,30.7405427632,35.3803453947,clay loam
C10.2,2015-07-12,BIRD,500031.0,4819056.0,vor,47.30373778149414,POINT (500031 4819056),47779,WY045,10,5,349454,75943,349454,100.0,R,33.8791118421,30.7405427632,35.3803453947,clay loam
C10.2,2016-06-30,BIRD,500031.0,4819056.0,vor,-3.080652462547352,POINT (500031 4819056),47779,WY045,10,5,349454,75943,349454,100.0,R,33.8791118421,30.7405427632,35.3803453947,clay loam
C10.2,2017-06-30,BIRD,500031.0,4819056.0,vor,21.21645697973083,POINT (500031 4819056),47779,WY045,10,5,349454,75943,349454,100.0,R,33.8791118421,30.7405427632,35.3803453947,clay loam
C10.2,2018-07-01,BIRD,500031.0,4819056.0,vor,78.34471472370291,POINT (500031 4819056),47779,WY045,10,5,349454,75943,349454,100.0,R,33.8791118421,30.7405427632,35.3803453947,clay loam
C10.2,2019-06-17,BIRD,500031.0,4819056.0,vor,72.46821681439809,POINT (500031 4819056),47779,WY045,10,5,349454,75943,349454,100.0,R,33.8791118421,30.7405427632,35.3803453947,clay loam
C10.3,2015-07-12,BIRD,500208.0,4818880.0,vor,13.536101553468702,POINT (500208 4818880),47779,WY045,10,5,349454,75943,349454,100.0,R,33.8791118421,30.7405427632,35.3803453947,clay loam
C10.3,2016-06-30,BIRD,500208.0,4818880.0,vor,-4.954007649038157,POINT (500208 4818880),47779,WY045,10,5,349454,75943,349454,100.0,R,33.8791118421,30.7405427632,35.3803453947,clay loam
C10.3,2017-06-30,BIRD,500208.0,4818880.0,vor,29.32632637823762,POINT (500208 4818880),47779,WY045,10,5,349454,75943,349454,100.0,R,33.8791118421,30.7405427632,35.3803453947,clay loam
C10.3,2018-07-01,BIRD,500208.0,4818880.0,vor,76.94182071493033,POINT (500208 4818880),47779,WY045,10,5,349454,75943,349454,100.0,R,33.8791118421,30.7405427632,35.3803453947,clay loam
C10.3,2019-06-17,BIRD,500208.0,4818880.0,vor,101.82020780084198,POINT (500208 4818880),47779,WY045,10,5,349454,75943,349454,100.0,R,33.8791118421,30.7405427632,35.3803453947,clay loam
C10.4,2015-07-12,BIRD,500385.0,4818703.0,vor,3.4847755210910663,POINT (500385 4818703),47779,WY045,10,5,349454,75943,349454,100.0,R,33.8791118421,30.7405427632,35.3803453947,clay loam
C10.4,2016-06-30,BIRD,500385.0,4818703.0,vor,-8.927167319686573,POINT (500385 4818703),47779,WY045,10,5,349454,75943,349454,100.0,R,33.8791118421,30.7405427632,35.3803453947,clay loam
C10.4,2017-06-30,BIRD,500385.0,4818703.0,vor,12.252472462842714,POINT (500385 4818703),47779,WY045,10,5,349454,75943,349454,100.0,R,33.8791118421,30.7405427632,35.3803453947,clay loam
C10.4,2018-07-01,BIRD,500385.0,4818703.0,vor,45.75080120261902,POINT (500385 4818703),47779,WY045,10,5,349454,75943,349454,100.0,R,33.8791118421,30.7405427632,35.3803453947,clay loam
C10.4,2019-06-17,BIRD,500385.0,4818703.0,vor,87.46804799375573,POINT (500385 4818703),47779,WY045,10,5,349454,75943,349454,100.0,R,33.8791118421,30.7405427632,35.3803453947,clay loam
C10.5,2015-07-12,BIRD,500561.0,4818526.0,vor,8.741438054664867,POINT (500561 4818526),47779,WY045,10,5,349454,75943,349454,100.0,R,33.8791118421,30.7405427632,35.3803453947,clay loam
C10.5,2016-06-30,BIRD,500561.0,4818526.0,vor,-6.413882397291541,POINT (500561 4818526),47779,WY045,10,5,349454,75943,349454,100.0,R,33.8791118421,30.7405427632,35.3803453947,clay loam
C10.5,2017-06-30,BIRD,500561.0,4818526.0,vor,11.193621317093594,POINT (500561 4818526),47779,WY045,10,5,349454,75943,349454,100.0,R,33.8791118421,30.7405427632,35.3803453947,clay loam
C10.5,2018-07-01,BIRD,500561.0,4818526.0,vor,104.69633783620732,POINT (500561 4818526),47779,WY045,10,5,349454,75943,349454,100.0,R,33.8791118421,30.7405427632,35.3803453947,clay loam
C10.5,2019-06-17,BIRD,500561.0,4818526.0,vor,142.6348071863479,POINT (500561 4818526),47779,WY045,10,5,349454,75943,349454,100.0,R,33.8791118421,30.7405427632,35.3803453947,clay loam
