,model,numb_vars,formula,R2,R2_adj,AIC,rmse_kg_mean,rmse_kg_sd,mpe,rmse_pct_mean,rmse_pct_sd,rmse_pct_max,mae_kg_mean|,mae_kg_sd,mae_orig_mean,mae_orig_sd,rmse_orig_mean,rmse_orig_sd,rmse_orig_pct_mean,rmse_orig_pct_sd,rmse_kg_low_mean,rmse_pct_low_mean,mpe_low,mae_kg_mean,mae_kg_max,mae_pct_mean,mae_pct_sd,mae_pct_max
0,projyear,2,np.log(bm) ~ nir + bai_126 + nir:bai_126 + I(nir**2) + I(bai_126**2),0.3305,0.3289,8589.7629,707.5964,51.9338,11.5667,0.9474,0.0695,1.0319,,23.4707,1.1754,0.0648,1.7218,0.0875,0.3032,0.0154,291.1254,1.0602,20.2133,439.0009,458.6414,0.5878,0.0314,0.6141
0,projyear,2,np.log(bm) ~ nir + bai_136 + nir:bai_136 + I(nir**2) + I(bai_136**2),0.3352,0.3336,8574.3454,710.5181,54.9668,10.8677,0.9513,0.0736,1.0661,,13.3912,1.1696,0.0681,1.7144,0.089,0.3019,0.0157,284.9449,1.0369,18.9867,424.5432,437.5137,0.5684,0.0179,0.5858
0,projyear,2,np.log(bm) ~ nir + bai_236 + nir:bai_236 + I(nir**2) + I(bai_236**2),0.4049,0.4035,8332.1765,671.3903,32.3946,8.2158,0.8989,0.0434,0.9563,,18.6422,1.125,0.0542,1.6264,0.0659,0.2864,0.0116,315.9522,1.1505,14.3811,412.2269,436.855,0.5519,0.025,0.5849
0,projyear,2,np.log(bm) ~ nir + bai_246 + nir:bai_246 + I(nir**2) + I(bai_246**2),0.5056,0.5045,7926.5989,585.8969,42.4684,5.9221,0.7844,0.0569,0.8635,,11.2583,1.0096,0.033,1.4809,0.0497,0.2608,0.0088,298.9203,1.0887,10.4135,370.2471,383.7539,0.4957,0.0151,0.5138
0,projyear,2,np.log(bm) ~ swir1 + bai_126 + swir1:bai_126 + I(swir1**2) + I(bai_126**2),0.4961,0.495,7968.1471,603.1823,51.3808,6.9012,0.8076,0.0688,0.8988,,24.5504,1.0238,0.0318,1.4956,0.0493,0.2634,0.0087,316.8733,1.1542,12.0932,380.7983,406.2502,0.5098,0.0329,0.5439
0,projyear,2,np.log(bm) ~ swir1 + bai_246 + swir1:bai_246 + I(swir1**2) + I(bai_246**2),0.5037,0.5025,7935.0736,608.506,42.1212,6.3931,0.8147,0.0564,0.8868,,20.8032,1.0346,0.0332,1.4846,0.047,0.2614,0.0083,336.3907,1.2255,11.2111,391.3086,413.7951,0.5239,0.0279,0.554
0,projyear,2,np.log(bm) ~ swir2 + bai_126 + swir2:bai_126 + I(swir2**2) + I(bai_126**2),0.5561,0.5551,7690.9077,589.0381,45.5736,5.8543,0.7886,0.061,0.8721,,18.5178,0.9531,0.0167,1.403,0.0346,0.2471,0.0061,306.3678,1.1161,10.2994,365.987,389.3266,0.49,0.0248,0.5212
0,projyear,2,np.log(bm) ~ swir2 + bai_246 + swir2:bai_246 + I(swir2**2) + I(bai_246**2),0.5517,0.5507,7712.428,591.052,40.3339,5.4367,0.7913,0.054,0.8645,,15.8955,0.9712,0.0221,1.4108,0.0359,0.2484,0.0063,319.2015,1.1629,9.572,373.4562,392.4279,0.5,0.0213,0.5254
0,projyear,2,np.log(bm) ~ bai_126 + bai_136 + bai_126:bai_136 + I(bai_126**2) + I(bai_136**2),0.3432,0.3416,8547.9224,681.0647,60.3847,8.7238,0.9118,0.0808,1.022,,25.3348,1.2108,0.0522,1.7101,0.0671,0.3011,0.0118,353.7893,1.2885,15.2804,443.737,475.3485,0.5941,0.0339,0.6364
0,projyear,2,np.log(bm) ~ bai_126 + bai_236 + bai_126:bai_236 + I(bai_126**2) + I(bai_236**2),0.3398,0.3383,8559.0136,676.3935,60.1434,8.9132,0.9056,0.0805,1.004,,26.6791,1.2123,0.0546,1.7141,0.069,0.3018,0.0122,347.8968,1.2669,15.6136,441.1136,475.4838,0.5906,0.0357,0.6366
0,projyear,2,np.log(bm) ~ bai_126 + bai_246 + bai_126:bai_246 + I(bai_126**2) + I(bai_246**2),0.237,0.2352,8875.6849,705.9979,49.1178,12.7821,0.9452,0.0658,1.0396,,16.3715,1.3009,0.0715,1.8377,0.0988,0.3236,0.0174,320.852,1.1683,22.3655,465.6158,485.0392,0.6234,0.0219,0.6494
0,projyear,2,np.log(bm) ~ bai_136 + bai_246 + bai_136:bai_246 + I(bai_136**2) + I(bai_246**2),0.3296,0.3281,8592.6224,653.7877,43.0431,9.3027,0.8753,0.0576,0.9502,,13.2011,1.2096,0.056,1.7233,0.0788,0.3035,0.0139,317.7434,1.1566,16.3086,430.2741,445.259,0.5761,0.0177,0.5961
0,projyear,2,np.log(bm) ~ bai_236 + bai_246 + bai_236:bai_246 + I(bai_236**2) + I(bai_246**2),0.3334,0.3318,8580.2852,685.4129,52.6171,8.6399,0.9177,0.0704,0.9935,,24.2236,1.2362,0.0542,1.7222,0.0667,0.3033,0.0117,369.2872,1.3439,15.1346,457.034,491.2619,0.6119,0.0324,0.6577
