index,model,numb_vars,formula,project,R2,R2_adj,AIC,rmse_kg_mean,rmse_kg_sd,mpe,rmse_pct_mean,rmse_pct_sd,rmse_pct_max,mae_kg_mean|,mae_kg_sd,mae_orig_mean,mae_orig_sd,rmse_orig_mean,rmse_orig_sd,rmse_orig_pct_mean,rmse_orig_pct_sd,rmse_kg_low_mean,rmse_pct_low_mean,mpe_low,mae_kg_mean,mae_kg_max,mae_pct_mean,mae_pct_sd,mae_pct_max
1330,Project,1,np.log(bm) ~ satvi,PDOG,0.2119,0.2089,492.5177,671.2074,54.5631,0.2207,0.701,0.057,0.7703,,33.9037,0.5023,0.0658,0.6184,0.0716,0.0934,0.0108,327.669,0.7145,0.7027,451.5727,497.172,0.4716,0.0354,0.5192
1331,Project,1,np.log(bm) ~ ndii7,PDOG,0.3722,0.3698,432.9351,631.4057,79.5758,0.1757,0.6594,0.0831,0.7701,,32.9189,0.449,0.0204,0.5558,0.0335,0.0839,0.0051,232.6262,0.5102,0.4918,426.6329,469.4111,0.4456,0.0344,0.4902
1332,Project,1,np.log(bm) ~ nir,PDOG,0.1723,0.1691,505.366,686.6538,63.5442,0.2322,0.7171,0.0664,0.8056,,29.0318,0.5143,0.0557,0.6344,0.0708,0.0958,0.0107,333.2853,0.7289,0.7472,464.097,498.0619,0.4847,0.0303,0.5201
1333,Project,1,np.log(bm) ~ swir1,PDOG,0.4438,0.4416,401.2321,553.1243,64.9098,0.1541,0.5777,0.0678,0.6363,,35.082,0.424,0.0523,0.518,0.066,0.0782,0.01,263.9129,0.5778,0.4628,381.9601,436.9437,0.3989,0.0366,0.4563
1334,Project,1,np.log(bm) ~ swir2,PDOG,0.4229,0.4206,410.9059,563.2358,60.1851,0.1585,0.5882,0.0629,0.6461,,30.8908,0.432,0.0516,0.5273,0.0646,0.0796,0.0097,259.9727,0.5692,0.4791,387.6216,437.3236,0.4048,0.0323,0.4567
1335,Project,1,np.log(bm) ~ bai_126,PDOG,0.0291,0.0254,547.1775,747.4744,63.2488,0.2699,0.7806,0.0661,0.8868,,24.8547,0.5675,0.0476,0.6907,0.0658,0.1043,0.0099,335.1789,0.7333,0.8741,509.5514,531.7607,0.5321,0.026,0.5553
1336,Project,1,np.log(bm) ~ bai_136,PDOG,0.2428,0.2399,482.0574,654.5238,57.4648,0.2084,0.6835,0.06,0.7513,,45.87,0.496,0.0781,0.6074,0.0912,0.0917,0.0138,315.2685,0.6889,0.6651,443.3956,503.3811,0.4631,0.0479,0.5257
1337,Project,1,np.log(bm) ~ bai_236,PDOG,0.361,0.3586,437.5788,606.7946,60.9596,0.173,0.6337,0.0637,0.723,,38.8508,0.4543,0.0706,0.5552,0.0825,0.0838,0.0125,263.5787,0.5772,0.5175,414.3406,471.5576,0.4327,0.0406,0.4925
1338,Project,1,np.log(bm) ~ bai_246,PDOG,0.2003,0.1972,496.3589,684.7856,66.2611,0.2172,0.7152,0.0692,0.8227,,18.0769,0.4999,0.0304,0.6231,0.0483,0.0941,0.0073,295.5589,0.646,0.6661,457.8116,488.6991,0.4781,0.0189,0.5104
1339,Project,2,np.log(bm) ~ dfi + ndvi + dfi:ndvi,PDOG,0.4772,0.4711,388.9964,571.9726,53.8873,0.1473,0.5973,0.0563,0.6594,,31.7757,0.4199,0.0482,0.5099,0.0557,0.077,0.0084,213.006,0.4659,0.3981,394.9988,446.3828,0.4125,0.0332,0.4662
